period,group,sex,metric,value_pct
Jan-Mar 2025,Disabled,People,Economically active,58.488552269767
Jan-Mar 2025,Disabled,People,Economically inactive,41.511447730233
Jan-Mar 2025,Non-disabled,People,In Employment,81.9428239358182
Jan-Mar 2025,Non-disabled,People,Unemployed,3.88775245133493
Jan-Mar 2025,Non-disabled,People,Economically active,85.2574214273031
Jan-Mar 2025,Non-disabled,People,Economically inactive,14.7425785726969
Apr-Jun 2025,Disabled,People,In Employment,52.8493227798141
Apr-Jun 2025,Disabled,People,Unemployed,8.46334248488089
Apr-Jun 2025,Disabled,People,Economically active,57.7356921417903
Apr-Jun 2025,Disabled,People,Economically inactive,42.2643078582097
Apr-Jun 2025,Non-disabled,People,In Employment,82.5398842723637
Apr-Jun 2025,Non-disabled,People,Unemployed,3.90353967331014
Apr-Jun 2025,Non-disabled,People,Economically active,85.8927415138506
Apr-Jun 2025,Non-disabled,People,Economically inactive,14.1072584861495
Jul-Sep 2025,Disabled,People,In Employment,52.3186899191982
Jul-Sep 2025,Disabled,People,Unemployed,9.05355379789095
Jul-Sep 2025,Disabled,People,Economically active,57.5269206263773
Jul-Sep 2025,Disabled,People,Economically inactive,42.4730793736228
Jul-Sep 2025,Non-disabled,People,In Employment,82.4585663898129
Jul-Sep 2025,Non-disabled,People,Unemployed,4.41655793625919
Jul-Sep 2025,Non-disabled,People,Economically active,86.2686722819885
Jul-Sep 2025,Non-disabled,People,Economically inactive,13.7313277180115
Oct-Dec 2025,Disabled,People,In Employment,52.7750049725153
Oct-Dec 2025,Disabled,People,Unemployed,9.17812526387551
Oct-Dec 2025,Disabled,People,Economically active,58.1082532438895
Oct-Dec 2025,Disabled,People,Economically inactive,41.8917467561105
Oct-Dec 2025,Non-disabled,People,In Employment,82.2607534830393
Oct-Dec 2025,Non-disabled,People,Unemployed,4.39979462955944
Oct-Dec 2025,Non-disabled,People,Economically active,86.0466284191417
Oct-Dec 2025,Non-disabled,People,Economically inactive,13.9533715808583
Jan-Mar 2026,Disabled,People,In Employment,53.1080550382742
Jan-Mar 2026,Disabled,People,Unemployed,8.70685228995163
Jan-Mar 2026,Disabled,People,Economically active,58.1731010162428
Jan-Mar 2026,Disabled,People,Economically inactive,41.8268989837572
Jan-Mar 2026,Non-disabled,People,In Employment,82.1774258056909
Jan-Mar 2026,Non-disabled,People,Unemployed,4.29003787844524
Jan-Mar 2026,Non-disabled,People,Economically active,85.8608905322969
Jan-Mar 2026,Non-disabled,People,Economically inactive,14.1391094677031
Apr-Jun 2026,Disabled,People,In Employment,53.0138490890909
Apr-Jun 2026,Disabled,People,Unemployed,8.67338731865009
Apr-Jun 2026,Disabled,People,Economically active,58.04863175432
Apr-Jun 2026,Disabled,People,Economically inactive,41.95136824568
Apr-Jun 2026,Non-disabled,People,In Employment,82.4097969837024
Apr-Jun 2026,Non-disabled,People,Unemployed,4.09078228121133
Apr-Jun 2026,Non-disabled,People,Economically active,85.9247931990569
